Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
1,6.0,0,2.0,0,71,0,3,2.77,3.87,1
0,3.0,0,3.0,2,71,0,3,2.53,3.6,1
0,4.0,1,8.0,2,71,0,3,2.23,3.67,0
0,5.0,0,3.0,0,71,1,1,2.56,3.67,1
0,6.0,1,3.0,0,71,0,3,2.76,3.77,1
0,2.0,0,3.0,2,71,0,3,2.76,3.8,1
0,3.0,0,2.0,2,71,0,3,2.61,3.7,1
1,6.0,0,3.0,0,71,0,3,2.77,3.87,1
0,3.0,1,7.0,2,35,0,1,2.38,3.49,0
0,4.0,1,5.0,2,71,0,1,2.08,3.21,0
0,5.0,0,8.0,0,71,0,3,2.45,3.68,0
0,3.5,0,5.0,0,71,0,3,2.05,3.45,0
0,2.0,0,2.0,0,71,1,1,2.67,3.73,1
0,4.0,0,6.0,0,71,0,3,2.76,3.88,0
1,5.0,0,2.0,0,39,1,1,2.7,3.87,1
0,2.0,0,3.551912339475154,2,71,0,3,2.56,3.64,1
0,2.0,0,8.0,1,66,0,3,2.53,3.36,0
0,2.0,0,7.0,1,55,1,3,2.54,3.57,0
0,4.0,0,4.0,2,44,0,3,2.45,3.5,0
1,8.0,0,2.0,0,71,0,3,2.91,4.0,2
0,5.0,0,8.0,2,40,0,3,2.33,3.88,0
0,2.0,0,3.0,0,71,1,2,2.56,3.64,1
1,6.0,0,4.0,2,71,0,3,2.78,3.8,1
0,5.0,1,7.0,2,71,0,3,2.32,3.78,0
0,4.0,0,7.0,2,43,0,2,2.22,3.41,0
0,3.0,0,3.0,2,71,0,3,2.78,3.86,1
0,2.0,0,3.0,2,44,0,3,2.1,3.41,0
0,2.0,0,2.0,0,71,1,3,2.57,3.63,1
0,5.0,0,4.0,2,71,0,1,2.44,3.59,0
0,2.0,0,2.0,2,71,1,3,2.34,3.42,0
0,4.0,0,5.0,1,34,0,1,2.0,3.03,0
0,6.0,0,3.0,1,71,0,3,2.64,3.34,1
0,3.0,1,7.0,2,53,0,1,2.9,3.93,0
1,5.0,0,2.0,0,71,0,3,2.33,3.89,0
